trade_date,open,high,low,close,volume
2024-05-08,202.38999938964844,205.0,201.80999755859375,204.86000061035156,2464300
2024-05-09,204.47999572753906,205.4600067138672,203.6999969482422,204.7899932861328,2941800
2024-05-10,205.9499969482422,207.75999450683594,205.24000549316406,207.19000244140625,2617000
2024-05-13,208.8300018310547,209.75,208.0500030517578,208.3800048828125,2314800
2024-05-14,209.0,212.4199981689453,206.7100067138672,211.94000244140625,2683400
2024-05-15,214.42999267578125,215.89999389648438,212.7100067138672,215.75,3802700
2024-05-16,216.0,216.0,213.66000366210938,214.1199951171875,2820000
2024-05-17,214.50999450683594,215.6300048828125,212.97000122070312,214.0800018310547,2373800
2024-05-20,214.9600067138672,218.6999969482422,213.94000244140625,217.47999572753906,2647900
2024-05-21,215.1999969482422,217.0800018310547,214.5500030517578,216.63999938964844,3428800
2024-05-22,227.7899932861328,240.3699951171875,224.75,240.16000366210938,9445800
2024-05-23,240.8800048828125,241.8800048828125,232.0,234.55999755859375,5578400
2024-05-24,236.3300018310547,238.32000732421875,232.1999969482422,232.50999450683594,4544300
2024-05-28,230.44000244140625,234.2899932861328,230.44000244140625,233.44000244140625,2673800
2024-05-29,229.74000549316406,231.6300048828125,227.8300018310547,228.14999389648438,3002100
2024-05-30,228.67999267578125,230.69000244140625,228.00999450683594,230.0,2884600
2024-05-31,230.10000610351562,234.72999572753906,227.64999389648438,234.49000549316406,6460100
2024-06-03,235.08999633789062,236.2899932861328,228.50999450683594,232.2100067138672,3087800
2024-06-04,231.86000061035156,232.17999267578125,228.9499969482422,230.6300048828125,2616000
2024-06-05,232.0,235.97000122070312,231.22000122070312,235.67999267578125,4016700
2024-06-06,234.52000427246094,238.3800048828125,233.2899932861328,237.41000366210938,2757000
2024-06-07,236.0500030517578,237.61000061035156,233.27000427246094,234.77000427246094,2208200
2024-06-10,232.2899932861328,235.97999572753906,231.19000244140625,235.3699951171875,2765600
2024-06-11,233.64999389648438,236.50999450683594,233.1300048828125,236.3000030517578,3098600
2024-06-12,239.02999877929688,240.5800018310547,236.44000244140625,238.44000244140625,2515000
2024-06-13,232.5500030517578,236.25,232.49000549316406,234.02999877929688,2673800
2024-06-14,230.10000610351562,232.57000732421875,229.4499969482422,231.19000244140625,2252400
2024-06-17,230.5399932861328,232.5,227.94000244140625,232.38999938964844,2415000
