timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-05-10,ADI.US,buy,206.053,1617.71,signal,0.0,0,0.0
2024-05-13,ADI.US,sell,208.7256,1617.71,signal,4323.5158,3,1.3
2024-05-13,ADI.US,sell,208.7256,1603.0,signal,0.0,0,0.0
2024-05-16,ADI.US,buy,216.108,1603.0,signal,-11834.0083,3,-3.54
2024-05-28,ADI.US,sell,230.3248,1436.36,signal,0.0,0,0.0
2024-05-30,ADI.US,buy,228.7943,1436.36,signal,2198.2768,2,0.66
2024-06-03,ADI.US,sell,234.9725,1411.07,signal,0.0,0,0.0
2024-06-04,ADI.US,buy,231.9759,1411.07,signal,4228.3005,1,1.28
2024-06-06,ADI.US,buy,234.6373,1419.09,signal,0.0,0,0.0
2024-06-07,ADI.US,sell,235.932,1419.09,signal,1837.3154,1,0.55
2024-06-07,ADI.US,sell,235.932,1411.57,signal,0.0,0,0.0
2024-06-10,ADI.US,buy,232.4061,1411.57,signal,4976.9696,3,1.49
2024-06-21,ADI.US,buy,231.6558,1447.16,signal,0.0,0,0.0
2024-06-25,ADI.US,sell,230.9645,1447.16,signal,-1000.4238,4,-0.3
2024-07-01,ADI.US,buy,226.8133,1476.59,signal,0.0,0,0.0
2024-07-02,ADI.US,sell,224.4477,1476.59,signal,-3493.0647,1,-1.04
2024-07-11,ADI.US,buy,238.8794,1397.13,signal,0.0,0,0.0
2024-07-16,ADI.US,sell,238.8905,1397.13,signal,15.5291,5,0.0
2024-07-18,ADI.US,buy,236.5982,1410.62,signal,0.0,0,0.0
2024-07-30,ADI.US,sell,228.7356,1410.62,signal,-11091.2179,12,-3.32
2024-07-31,ADI.US,buy,229.8749,1435.8,signal,0.0,0,0.0
2024-08-06,ADI.US,sell,201.2593,1435.8,signal,-41086.2123,6,-12.45
2024-08-07,ADI.US,sell,210.3648,1503.86,signal,0.0,0,0.0
2024-08-08,ADI.US,buy,206.2931,1503.86,signal,6123.2198,1,1.94
2024-08-09,ADI.US,sell,209.845,1517.31,signal,0.0,0,0.0
2024-08-12,ADI.US,buy,212.2561,1517.31,signal,-3658.3056,3,-1.15
2024-08-15,ADI.US,buy,220.5602,1438.07,signal,0.0,0,0.0
2024-08-16,ADI.US,sell,222.9385,1438.07,signal,3420.0988,1,1.08
2024-08-19,ADI.US,buy,222.5412,1430.39,signal,0.0,0,0.0
2024-08-22,ADI.US,sell,225.5672,1430.39,signal,4328.2815,3,1.36
2024-08-23,ADI.US,buy,225.9629,1415.11,signal,0.0,0,0.0
2024-08-26,ADI.US,sell,227.7261,1415.11,signal,2495.0445,3,0.78
2024-09-04,ADI.US,buy,220.12,1456.45,signal,0.0,0,0.0
2024-09-05,ADI.US,sell,219.3703,1456.45,signal,-1091.9643,1,-0.34
2024-09-09,ADI.US,sell,216.9015,1476.39,signal,0.0,0,0.0
2024-09-10,ADI.US,buy,217.6087,1476.39,signal,-1044.1923,1,-0.33
2024-09-12,ADI.US,sell,223.3283,1432.34,signal,0.0,0,0.0
2024-09-13,ADI.US,buy,223.9519,1432.34,signal,-893.2558,1,-0.28
2024-09-20,ADI.US,buy,232.086,1377.01,signal,0.0,0,0.0
2024-09-24,ADI.US,sell,228.5257,1377.01,signal,-4902.5781,4,-1.53
2024-09-27,ADI.US,buy,234.8274,1353.98,signal,0.0,0,0.0
2024-09-30,ADI.US,sell,228.7855,1353.98,signal,-8180.5005,3,-2.57
2024-10-02,ADI.US,buy,225.0925,1400.42,signal,0.0,0,0.0
2024-10-03,ADI.US,sell,224.5177,1400.42,signal,-804.9556,1,-0.26
2024-10-16,ADI.US,buy,228.9644,1375.56,signal,0.0,0,0.0
2024-10-17,ADI.US,sell,232.4037,1375.56,signal,4730.9816,1,1.5
2024-10-18,ADI.US,buy,229.2846,1380.52,signal,0.0,0,0.0
2024-10-21,ADI.US,sell,226.1869,1380.52,signal,-4276.4784,3,-1.35
2024-10-24,ADI.US,buy,228.8544,1376.89,signal,0.0,0,0.0
2024-10-28,ADI.US,sell,229.0154,1376.89,signal,221.7679,4,0.07
2024-10-29,ADI.US,buy,229.8148,1371.45,signal,0.0,0,0.0
2024-10-30,ADI.US,sell,230.6646,1371.45,signal,1165.4059,1,0.37
2024-11-01,ADI.US,buy,223.9819,1408.9,signal,0.0,0,0.0
2024-11-05,ADI.US,sell,219.2003,1408.9,signal,-6736.7787,4,-2.13
2024-11-06,ADI.US,buy,223.7918,1400.07,signal,0.0,0,0.0
2024-11-08,ADI.US,sell,226.4467,1400.07,signal,3717.0247,2,1.19
2024-11-11,ADI.US,buy,223.9619,1404.54,signal,0.0,0,0.0
2024-11-12,ADI.US,sell,220.3798,1404.54,signal,-5031.3019,1,-1.6
2024-11-12,ADI.US,sell,220.3798,1417.99,signal,0.0,0,0.0
2024-11-13,ADI.US,buy,216.8784,1417.99,signal,4964.9094,1,1.59
2024-11-14,ADI.US,sell,213.3333,1474.41,signal,0.0,0,0.0
2024-11-18,ADI.US,buy,206.6233,1474.41,signal,9893.3179,4,3.15
2024-11-19,ADI.US,sell,207.5961,1531.04,signal,0.0,0,0.0
2024-11-20,ADI.US,buy,207.3536,1531.04,signal,371.3108,1,0.12
2024-11-20,ADI.US,buy,207.3536,1524.43,signal,0.0,0,0.0
2024-11-21,ADI.US,sell,212.1838,1524.43,signal,7363.3373,1,2.33
2024-11-22,ADI.US,buy,211.6458,1513.93,signal,0.0,0,0.0
2024-11-26,ADI.US,sell,232.0339,1513.93,signal,30866.2404,4,9.63
2024-11-29,ADI.US,buy,219.2996,1508.01,signal,0.0,0,0.0
2024-12-02,ADI.US,sell,218.0209,1508.01,signal,-1928.2284,3,-0.58
2024-12-12,ADI.US,sell,215.0424,1534.87,signal,0.0,0,0.0
2024-12-13,ADI.US,buy,215.5177,1534.87,signal,-729.508,1,-0.22
2024-12-17,ADI.US,sell,215.7821,1528.48,signal,0.0,0,0.0
2024-12-18,ADI.US,buy,215.2676,1528.48,signal,786.3582,1,0.24
2024-12-19,ADI.US,sell,209.4952,1575.6,signal,0.0,0,0.0
2024-12-24,ADI.US,buy,216.048,1575.6,signal,-10324.5386,5,-3.13
2025-01-08,ADI.US,sell,215.2923,1517.19,signal,0.0,0,0.0
2025-01-15,ADI.US,buy,217.6087,1517.19,signal,-3514.504,7,-1.08
2025-01-16,ADI.US,sell,218.1909,1491.67,signal,0.0,0,0.0
2025-01-21,ADI.US,buy,219.3396,1491.67,signal,-1713.5674,5,-0.53
2025-01-22,ADI.US,sell,221.3393,1467.87,signal,0.0,0,0.0
2025-01-24,ADI.US,buy,224.7323,1467.87,signal,-4980.5316,2,-1.53
2025-01-27,ADI.US,sell,217.2913,1487.57,signal,0.0,0,0.0
2025-01-30,ADI.US,buy,210.3351,1487.57,signal,10347.8094,3,3.2
2025-02-03,ADI.US,sell,209.1853,1561.71,signal,0.0,0,0.0
2025-02-07,ADI.US,buy,207.7838,1561.71,signal,2188.761,4,0.67
2025-02-12,ADI.US,buy,201.1105,1628.04,signal,0.0,0,0.0
2025-02-18,ADI.US,sell,217.1614,1628.04,signal,26131.458,6,7.98
2025-02-20,ADI.US,sell,243.4182,1380.86,signal,0.0,0,0.0
2025-02-21,ADI.US,buy,245.0525,1380.86,signal,-2256.6489,1,-0.67
2025-02-21,ADI.US,buy,245.0525,1380.12,signal,0.0,0,0.0
2025-02-26,ADI.US,sell,234.9225,1380.12,signal,-13980.594,5,-4.13
2025-02-28,ADI.US,buy,226.103,1462.67,signal,0.0,0,0.0
2025-03-06,ADI.US,sell,225.5672,1462.67,signal,-783.7685,6,-0.24
2025-03-07,ADI.US,buy,223.7018,1477.2,signal,0.0,0,0.0
2025-03-10,ADI.US,sell,220.1099,1477.2,signal,-5305.9549,3,-1.61
2025-03-11,ADI.US,buy,217.4387,1511.62,signal,0.0,0,0.0
2025-03-12,ADI.US,sell,208.9755,1511.62,signal,-12793.1499,1,-3.89
2025-03-24,ADI.US,sell,209.895,1545.63,signal,0.0,0,0.0
2025-03-25,ADI.US,buy,211.0855,1545.63,signal,-1840.0505,1,-0.57
2025-04-01,ADI.US,sell,200.1599,1617.74,signal,0.0,0,0.0
2025-04-02,ADI.US,buy,195.8579,1617.74,signal,6959.5013,1,2.15
2025-04-10,ADI.US,sell,189.5352,1720.66,signal,0.0,0,0.0
2025-04-15,ADI.US,buy,178.6893,1720.66,signal,18662.0784,5,5.72
2025-04-25,ADI.US,sell,192.8535,1723.31,signal,0.0,0,0.0
2025-04-28,ADI.US,buy,193.4567,1723.31,signal,-1039.4294,3,-0.31
2025-05-13,ADI.US,sell,221.859,2992.89,signal,0.0,0,0.0
2025-05-14,ADI.US,buy,227.7538,2992.89,signal,-17642.4975,1,-2.66
2025-05-15,ADI.US,buy,224.5422,1452.38,signal,0.0,0,0.0
2025-05-16,ADI.US,sell,227.0464,1452.38,signal,3637.0732,1,1.12
2025-05-20,ADI.US,buy,222.4312,2943.22,signal,0.0,0,0.0
2025-05-29,ADI.US,sell,217.951,2943.22,signal,-13186.2136,9,-2.01
2025-06-02,ADI.US,buy,212.5062,1519.66,signal,0.0,0,0.0
2025-06-03,ADI.US,sell,213.923,1519.66,signal,2153.0389,1,0.67
2025-06-11,ADI.US,sell,233.973,1383.3,signal,0.0,0,0.0
2025-06-12,ADI.US,buy,231.6458,1383.3,signal,3219.1986,1,0.99
2025-06-23,ADI.US,buy,228.3041,1422.35,signal,0.0,0,0.0
2025-06-24,ADI.US,sell,233.793,1422.35,signal,7807.2098,1,2.4
2025-07-02,ADI.US,buy,240.5902,1360.53,signal,0.0,0,0.0
2025-07-03,ADI.US,sell,245.7171,1360.53,signal,6975.2198,1,2.13
2025-07-07,ADI.US,sell,244.6876,1347.25,signal,0.0,0,0.0
2025-07-08,ADI.US,buy,243.7218,1347.25,signal,1301.1558,1,0.39
2025-07-09,ADI.US,buy,245.7128,1343.39,signal,0.0,0,0.0
2025-07-11,ADI.US,sell,243.2383,1343.39,signal,-3324.1792,2,-1.01
2025-07-23,ADI.US,buy,230.8854,1424.86,signal,0.0,0,0.0
2025-07-28,ADI.US,sell,228.7955,1424.86,signal,-2977.7303,5,-0.91
2025-08-01,ADI.US,buy,222.4712,1474.29,signal,0.0,0,0.0
2025-08-08,ADI.US,sell,222.9485,1474.29,signal,703.6594,7,0.21
2025-08-13,ADI.US,buy,233.0865,1408.16,signal,0.0,0,0.0
2025-08-25,ADI.US,sell,252.5137,1408.16,signal,27356.5963,12,8.33
2025-08-26,ADI.US,sell,253.873,1328.78,signal,0.0,0,0.0
2025-08-27,ADI.US,buy,254.7173,1328.78,signal,-1121.8774,1,-0.33
2025-08-28,ADI.US,sell,256.7516,1312.43,signal,0.0,0,0.0
2025-08-29,ADI.US,buy,253.1865,1312.43,signal,4678.8619,1,1.39
2025-09-22,ADI.US,buy,245.7328,1377.62,signal,0.0,0,0.0
2025-09-23,ADI.US,sell,248.2458,1377.62,signal,3461.9653,1,1.02
2025-09-30,ADI.US,buy,245.9329,1381.19,signal,0.0,0,0.0
2025-10-01,ADI.US,sell,243.5882,1381.19,signal,-3238.5464,1,-0.95
2025-10-02,ADI.US,buy,242.2511,1397.73,signal,0.0,0,0.0
2025-10-06,ADI.US,sell,244.8875,1397.73,signal,3685.0028,4,1.09
2025-10-07,ADI.US,buy,243.5117,1395.54,signal,0.0,0,0.0
2025-10-15,ADI.US,sell,238.0709,1395.54,signal,-7592.8358,8,-2.23
2025-10-15,ADI.US,sell,238.0709,1416.95,signal,0.0,0,0.0
2025-10-16,ADI.US,buy,240.4502,1416.95,signal,-3371.2916,1,-1.0
2025-10-23,ADI.US,buy,237.4187,1415.96,signal,0.0,0,0.0
2025-10-24,ADI.US,sell,245.3273,1415.96,signal,11198.288,1,3.33
2025-10-27,ADI.US,buy,239.8198,1417.35,signal,0.0,0,0.0
2025-10-29,ADI.US,sell,239.6401,1417.35,signal,-254.7438,2,-0.07
2025-10-30,ADI.US,buy,235.1575,1445.09,signal,0.0,0,0.0
2025-10-31,ADI.US,sell,232.7835,1445.09,signal,-3430.5994,1,-1.01
2025-11-05,ADI.US,sell,229.975,1472.68,signal,0.0,0,0.0
2025-11-06,ADI.US,buy,235.3076,1472.68,signal,-7853.2813,1,-2.32
2025-11-10,ADI.US,sell,231.7441,1450.14,signal,0.0,0,0.0
2025-11-17,ADI.US,buy,233.1465,1450.14,signal,-2033.7389,7,-0.61
2025-11-18,ADI.US,sell,229.7351,1459.87,signal,0.0,0,0.0
