timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2024-05-08,0.0,1000000.0,0.0,1000000.0,0.0
2024-05-09,0.0,1000000.0,0.0,999658.2674801807,0.0003417325198192822
2024-05-10,0.0018393856015648247,1001839.3856015648,0.0,1011373.629913662,-0.009879981720842146
2024-05-13,0.0030325201092364917,1004877.4836846268,0.0,1017182.4868787153,-0.0027110120466782295
2024-05-14,-0.005678976968914506,999170.807598201,-0.00567897696891453,1034560.1962801956,-0.022763137997684035
2024-05-15,-0.006112494520438161,993063.3815117752,-0.011756758773748512,1053158.2512799143,-0.02408926867682737
2024-05-16,-0.0005778825507857244,992489.5075117752,-0.012327847298785121,1045201.5741445235,0.006977180637221192
2024-05-17,0.0,992489.5075117752,-0.012327847298785121,1045006.3516217584,0.00018677978257441996
2024-05-20,0.0,992489.5075117752,-0.012327847298785121,1061603.0219642096,-0.01588188465715512
2024-05-21,0.0,992489.5075117752,-0.012327847298785121,1057502.678630284,0.0038624073679998094
2024-05-22,0.0,992489.5075117752,-0.012327847298785121,1172312.8133680876,-0.10856722829913745
2024-05-23,0.0,992489.5075117752,-0.012327847298785121,1144977.042173949,0.023317813200046777
2024-05-24,0.0,992489.5075117752,-0.012327847298785121,1134970.1933715956,0.008739781177929618
2024-05-28,-0.00450843799061551,988014.9301108218,-0.01678070595429631,1139509.917728715,-0.008508300175219308
2024-05-29,0.007690528191443002,995613.2867844058,-0.00921923025506703,1113687.363158955,0.030351633784301613
2024-05-30,-0.0009295802457196523,994687.7843406351,-0.010140240486460795,1122717.9503795144,-0.009038307631243914
2024-05-31,0.0,994687.7843406351,-0.010140240486460795,1144635.384138114,-0.019521763013756743
2024-06-03,0.003918820357071473,998585.7870788395,-0.006261157910233229,1133505.8382408966,0.013642044059086977
2024-06-04,0.00033076553985744717,998916.0848457967,-0.005932463345652,1125793.2451219505,0.007134959094709625
2024-06-05,0.0,998916.0848457967,-0.005932463345652,1150444.166619183,-0.02189649085570955
2024-06-06,0.003939036318583389,1002850.8515832213,-0.002016795215645866,1158889.0117874625,-0.003401472167888109
2024-06-07,-0.00045594421079575564,1002393.6075431504,-0.0024718198803386406,1146002.1652494224,0.010664056416497814
2024-06-10,0.0033287944874649256,1005730.3698582102,0.0,1148930.9499948043,0.0007731407250266553
2024-06-11,0.0,1005730.3698582102,0.0,1153470.6743519236,-0.0039512595227240155
2024-06-12,0.0,1005730.3698582102,0.0,1163916.8296934867,-0.00905628168434558
2024-06-13,0.0,1005730.3698582102,0.0,1142389.9154644015,0.018495234092245405
2024-06-14,0.0,1005730.3698582102,0.0,1128526.8073445673,0.012135180757612551
2024-06-17,0.0,1005730.3698582102,0.0,1134384.4513193157,-0.00519052266780573
2024-06-18,0.0,1005730.3698582102,0.0,1148979.8114884838,-0.012866326008077023
2024-06-20,0.0,1005730.3698582102,0.0,1120326.046192732,0.02493844104939602
2024-06-21,-0.0008716371725393524,1004853.73788229,-0.0008716371725393573,1127843.4167889128,-0.007581621843276598
2024-06-24,-0.0037300344906322502,1001105.5987819483,-0.004598420426454746,1115200.6542673171,0.0074796443826912196
2024-06-25,0.0036203446174647436,1004729.9460480125,-0.0009947236756296626,1124377.6025169622,-0.004608621366844368
2024-06-26,0.0,1004729.9460480125,-0.0009947236756296626,1112174.1465345763,0.010853521054731141
2024-06-27,0.0,1004729.9460480125,-0.0009947236756296626,1106511.7250825928,0.005091308289827512
2024-06-28,0.0,1004729.9460480125,-0.0009947236756296626,1114224.318201539,-0.006970186527730071
2024-07-01,-0.002400440628256839,1002318.1514650926,-0.0033927765287615967,1099189.6514931612,0.011092952454964555
2024-07-02,-0.0010787693627067885,1001236.8813516072,-0.004467885868094602,1114126.7441821485,-0.014667955422361212
2024-07-03,0.0,1001236.8813516072,-0.004467885868094602,1122815.5988828884,-0.007798802735965449
2024-07-05,0.0,1001236.8813516072,-0.004467885868094602,1127062.3777298839,-0.0037822585037299294
2024-07-08,0.0,1001236.8813516072,-0.004467885868094602,1139021.7496958252,-0.010611100327942768
2024-07-09,0.0,1001236.8813516072,-0.004467885868094602,1132529.5021751178,0.005699845084118249
2024-07-10,0.0,1001236.8813516072,-0.004467885868094602,1163379.874650902,-0.027240237377069265
2024-07-11,-0.007171496336152772,994056.5147253731,-0.011607340777113933,1140974.3473433976,0.012087498765707472
2024-07-12,0.006774419174984336,1000790.6702397468,-0.0049115545940606456,1164502.571745766,-0.013846749440375561
2024-07-15,-0.001172656898645985,999617.0861561897,-0.00607845192432878,1160402.2284118405,0.0023484545470577878
2024-07-16,0.001635950731224911,1001252.4104592318,-0.00445244524097418,1187786.786615674,-0.021963244042222607
2024-07-17,0.0,1001252.4104592318,-0.00445244524097418,1150102.508583347,0.03172646678424451
2024-07-18,0.0033696580747824,1004626.2887290312,-0.0010977903842504452,1166601.604906408,-0.010976103455104136
2024-07-19,-0.010910050383695524,993665.7653022124,-0.01199586381954306,1128673.2428576367,0.021601787324443178
2024-07-22,0.012520967957019735,1006107.4225095488,0.0,1171726.9968318227,-0.02562448667002548
2024-07-23,-0.013627974797557063,992396.2159119536,-0.013627974797557079,1124280.0284975714,0.026865218977563665
2024-07-24,-0.008102158281703575,984355.6646924713,-0.02161971707039178,1096456.089270544,0.0166460703817638
2024-07-25,-0.0053022397110500386,979136.3749973418,-0.02680732385904954,1078394.9893134094,0.011170011329253993
2024-07-26,0.007938126546727542,986908.8834485747,-0.019081997241494293,1105291.379484354,-0.017003003964337626
2024-07-29,0.0013864533442713434,988277.186570523,-0.017722000196113905,1110026.3263642385,-0.002897436829642386
2024-07-30,0.0019063538522177126,990161.1925922006,-0.015849430747239022,1096260.8667477788,0.014307374701468034
